condition,case_id,action_index,predicted_family,action,rationale,audit_id,label,reason
shuffled_rag,iot-v2-019,3,Mirai,NOTIFY_OPERATOR,Human review is required due to low confidence and the inability to confirm a device identity.,AE-118,unsupported,"The excerpts support continuous monitoring and anomaly detection, but not the action of notifying an operator."
shuffled_rag,iot-v2-025,1,Spoofing,INCREASE_LOGGING,"Capture additional telemetry to confirm whether the flow profile reflects spoofing or a benign burst, without assuming device identity.",AE-119,unsupported,"The ETSI excerpts discuss validating unexpected data on interfaces, not collecting additional telemetry or audit trail data."
shuffled_rag,iot-v2-020,2,Spoofing,CAPTURE_TRAFFIC,Packet/flow capture can help verify whether the observed pattern reflects spoofing or benign bursty traffic.,AE-120,unsupported,The cited ETSI text does not support packet or flow capture; it concerns input validation.
shuffled_rag,iot-v2-005,1,BruteForce,RATE_LIMIT,Reduce the impact of repeated high-rate attempts while preserving observability.,AE-121,generally_supported,"The excerpts support delaying or limiting additional authentication attempts after too many failures, which is related to rate limiting, but they do not explicitly describe rate limiting itself."
shuffled_rag,iot-v2-028,2,Benign,INCREASE_LOGGING,Collect additional evidence because the alert is intent-only and lacks a validated device identifier.,AE-122,unsupported,"The cited excerpts discuss authentication and interface restriction, not increasing logging."
shuffled_rag,iot-v2-027,2,Spoofing,CAPTURE_TRAFFIC,Preserve traffic evidence to confirm or refute spoofing characteristics.,AE-123,unsupported,"The ETSI excerpts are about validating data input, not preserving traffic evidence."
shuffled_rag,iot-v2-003,3,Benign,NOTIFY_OPERATOR,Human review is appropriate because the alert is uncertain and mitigation should remain bounded.,AE-124,unsupported,"The excerpts concern authentication changes and confidentiality, not notifying an operator."
shuffled_rag,iot-v2-017,3,Mirai,NOTIFY_OPERATOR,Human review is appropriate because the alert is strong but still profile-based and not tied to a validated device identity.,AE-125,unsupported,"The cited material supports monitoring for anomalies and unauthorized activity, but not operator notification."
shuffled_rag,iot-v2-027,1,Spoofing,INCREASE_LOGGING,Increase visibility on the suspicious profile to collect more evidence before containment.,AE-126,unsupported,"The cited excerpts do not mention visibility, telemetry, or logging; they address input validation."
shuffled_rag,iot-v2-001,2,Benign,INCREASE_LOGGING,"Collect additional evidence while preserving service, since the alert lacks device identity and execution is not permitted.",AE-127,unsupported,"The excerpts address authentication and interface restriction, not increasing logging."
rag,iot-v2-028,2,Benign,INCREASE_LOGGING,Provides additional evidence if the benign classification later changes or anomalies emerge.,AE-128,directly_supported,"The excerpts explicitly support continuous monitoring for unauthorized activity and deviations from expected activity, which directly supports MONITOR."
rag,iot-v2-024,2,Spoofing,CAPTURE_TRAFFIC,Preserve packet/flow samples for offline analysis because the current features are insufficient to validate identity or intent.,AE-129,generally_supported,"The NIST excerpts support authentication and restricting access to interfaces, which is related to spoofing analysis, but they do not directly justify capturing traffic."
rag,iot-v2-010,3,DDoS,NOTIFY_OPERATOR,Human review is appropriate because the alert is high-confidence but device identity is not validated.,AE-130,unsupported,"The excerpts support DDoS as a threat, but do not support notifying an operator because device identity is unvalidated."
rag,iot-v2-025,2,Spoofing,CAPTURE_TRAFFIC,Collect packet evidence for offline validation of spoofing indicators and to distinguish benign TLS activity from impersonation or replay behavior.,AE-131,generally_supported,"The excerpts support authentication/identification and hidden authentication information, which is relevant to spoofing concerns, but not specific packet capture."
rag,iot-v2-014,3,DoS,NOTIFY_OPERATOR,High-confidence alert with no validated device identity warrants human review before stronger containment is applied.,AE-132,unsupported,"The cited material supports detecting and defending against DoS/resource exhaustion and managing vulnerabilities, not notifying an operator due to lack of device identity."
shuffled_rag,iot-v2-002,2,Benign,INCREASE_LOGGING,Collect more context to confirm the benign classification and support later review.,AE-133,unsupported,"The cited excerpts are about authentication mechanisms and access control, not collecting more context through logging."
shuffled_rag,iot-v2-028,3,Benign,NOTIFY_OPERATOR,Ensure human awareness without disrupting service.,AE-134,unsupported,"The excerpts concern authentication and confidentiality, not ensuring human awareness or notifying an operator."
shuffled_rag,iot-v2-028,1,Benign,MONITOR,Preserve availability while confirming the flow remains consistent with normal encrypted traffic.,AE-135,unsupported,"The excerpts are about authentication-related confidentiality and interface access control, not monitoring traffic."
rag,iot-v2-008,2,Benign,INCREASE_LOGGING,Collect additional context because the alert is mitigation intent only and device identity is not validated.,AE-136,unsupported,"The evidence supports continuous monitoring and event identification/monitoring, but not increasing logging."
shuffled_rag,iot-v2-004,2,Spoofing,INCREASE_LOGGING,Improve visibility into whether the traffic is originating from a legitimate endpoint or a spoofed source.,AE-137,unsupported,The ETSI excerpts address input validation rather than improving visibility into source or spoofed traffic.
shuffled_rag,iot-v2-013,1,DoS,RATE_LIMIT,Reduce impact from the high-rate UDP-dominant flow while preserving visibility for analysis.,AE-138,unsupported,"The evidence supports access restriction and DoS defense, but it does not justify rate limiting high-rate UDP traffic."
rag,iot-v2-013,2,DoS,CAPTURE_TRAFFIC,Collect evidence to confirm whether the traffic is flood-like and to support downstream analysis.,AE-139,unsupported,"The excerpts discuss DoS/resource-exhaustion attacks and countermeasures, but not packet capture for confirmation or analysis."
shuffled_rag,iot-v2-016,1,DDoS,RATE_LIMIT,Reduce impact of a likely volumetric flood while preserving bounded gateway operation.,AE-140,unsupported,"The excerpts support DoS resistance and attack detection, but not rate limiting as a mitigation."
shuffled_rag,iot-v2-014,3,DoS,NOTIFY_OPERATOR,Human review is appropriate because mitigation is intent-only and the device cannot be identified from the supplied features.,AE-141,unsupported,The cited passages do not support human review based on low confidence or absent device identity; they are about access control and device capabilities.
shuffled_rag,iot-v2-018,1,Mirai,CAPTURE_TRAFFIC,"Collect packet evidence to confirm whether the flow is scanning, flooding, or using a nonstandard protocol before disruptive containment.",AE-142,unsupported,"The excerpts support continuous monitoring of network assets, but not capturing traffic specifically."
rag,iot-v2-009,3,DDoS,NOTIFY_OPERATOR,Escalate for human review because the alert is high-confidence but device identity is unavailable.,AE-143,unsupported,"The excerpts discuss DDoS and flooding, but do not support operator escalation when device identity is unavailable."
rag,iot-v2-018,3,Mirai,NOTIFY_OPERATOR,Human review is warranted because the alert is high-confidence but device identity is unvalidated and execution is not permitted.,AE-144,unsupported,"The evidence discusses restricting interfaces, access, and malicious code protection; it does not support notifying an operator."
shuffled_rag,iot-v2-015,1,DoS,CAPTURE_TRAFFIC,Collect packet-level evidence to confirm whether the elevated rate reflects abusive flooding or benign churn.,AE-145,unsupported,The evidence does not mention packet capture or using it to distinguish abusive flooding from benign churn.
rag,iot-v2-002,3,Benign,NOTIFY_OPERATOR,Keeps a human informed in case the profile becomes suspicious or requires a policy decision.,AE-146,generally_supported,"The excerpts support continuous monitoring and support for event identification/monitoring tools, which supports keeping a human informed, but they do not explicitly call for notifying an operator."
rag,iot-v2-032,1,Spoofing,RESTRICT_EGRESS,Limit potential unauthorized communication while preserving bounded operation.,AE-147,generally_supported,"The excerpts support disabling unnecessary interfaces and restricting access to authorized entities, which aligns with limiting unauthorized communication, but not specifically restricting egress."
rag,iot-v2-015,2,DoS,INCREASE_LOGGING,"Collect more evidence on connection patterns, protocol mix, and burst behavior to validate whether this is resource-exhaustion activity.",AE-148,unsupported,"The excerpts support detecting and defending against resource exhaustion/DoS, but not increasing logging to validate connection patterns or protocol mix."
rag,iot-v2-028,1,Benign,MONITOR,Matches the routing decision and NIST guidance to continuously monitor for deviations from expected activity.,AE-149,directly_supported,"The excerpt explicitly states assets are monitored for deviations from expected activity and other adverse events, directly supporting MONITOR."
shuffled_rag,iot-v2-015,3,DoS,NOTIFY_OPERATOR,Human review is appropriate because confidence is well below threshold and no validated device identifier is available.,AE-150,unsupported,The cited material does not support notifying an operator because confidence is below threshold or identity is unavailable.
rag,iot-v2-025,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because the alert is high confidence but lacks a validated device identifier and is mitigation intent only.,AE-151,generally_supported,"The evidence supports authentication and access control, which are relevant to spoofing-related human review, but it does not directly support notifying an operator."
rag,iot-v2-032,3,Spoofing,NOTIFY_OPERATOR,Human review is appropriate because no validated device identifier is available and mitigation is intent-only.,AE-152,generally_supported,"The cited NIST excerpts support authentication and authorized access restrictions, which are related to spoofing concerns, but not specifically operator notification."
rag,iot-v2-021,3,Recon,NOTIFY_OPERATOR,Operator awareness is appropriate because the alert is high-confidence but mitigation remains intent-only and device identity is unverified.,AE-153,generally_supported,"The evidence supports continuous monitoring for anomalies and adverse events, which is consistent with escalating a suspicious recon alert to an operator, but it does not explicitly require notification."
shuffled_rag,iot-v2-021,3,Recon,NOTIFY_OPERATOR,Human review is needed because the alert is strong but not tied to a validated device identity.,AE-154,unsupported,"The excerpts focus on authentication and access control capabilities, not operator notification or human review."
shuffled_rag,iot-v2-031,2,Web,CAPTURE_TRAFFIC,"Collect supporting evidence for protocol, destination, and session characterization before any disruptive action.",AE-155,generally_supported,"The excerpts support continuous monitoring and event identification/monitoring, which are compatible with traffic capture for analysis, but they do not directly mention capturing traffic."
shuffled_rag,iot-v2-004,3,Spoofing,NOTIFY_OPERATOR,Human review is needed because the alert cannot attribute the behavior to a specific device.,AE-156,unsupported,The ETSI input-validation excerpts do not support notifying an operator about spoofing.
shuffled_rag,iot-v2-026,2,Spoofing,CAPTURE_TRAFFIC,"Preserve packet evidence for validation of source, protocol, and session anomalies associated with spoofing.",AE-157,unsupported,"The excerpts concern input validation, not preserving traffic evidence for spoofing analysis."
rag,iot-v2-005,2,BruteForce,CAPTURE_TRAFFIC,Preserve packet-level evidence to confirm brute-force behavior and distinguish it from benign retries or scanning.,AE-158,unsupported,"The evidence concerns authentication value management and failed-attempt thresholds, not capturing traffic."
shuffled_rag,iot-v2-006,2,BruteForce,CAPTURE_TRAFFIC,Collect packet evidence to confirm brute-force patterns and support later investigation.,AE-159,unsupported,"The RFC excerpts discuss DoS/DDoS and cookie mechanisms, not packet capture for brute-force investigation."
rag,iot-v2-015,3,DoS,CAPTURE_TRAFFIC,Packet capture can help confirm whether the observed rate and SYN activity reflect a DoS pattern or benign traffic burst.,AE-160,unsupported,"The excerpts support DoS detection/defense, but not packet capture to confirm volumetric or spoofed traffic."
shuffled_rag,iot-v2-031,1,Web,INCREASE_LOGGING,Increase telemetry to improve visibility into the anomalous flow profile and support validation of the low-confidence prediction.,AE-161,generally_supported,"The cited material supports continuous monitoring and device event identification/monitoring, which justifies improved visibility, but it does not explicitly support increasing logging."
shuffled_rag,iot-v2-008,2,Benign,INCREASE_LOGGING,Collect additional evidence to confirm benign behavior while respecting the lack of validated device identity.,AE-162,unsupported,"The excerpts are about authentication values, confidentiality, and access restriction, not increasing logging."
rag,iot-v2-006,3,BruteForce,NOTIFY_OPERATOR,Human review is appropriate given the likely credential attack and lack of validated device identity.,AE-163,unsupported,"The evidence is about authentication management and thresholds for failed attempts, not operator notification."
shuffled_rag,iot-v2-003,1,Benign,INCREASE_LOGGING,Low-confidence alert with escalation routing warrants more telemetry to support validation.,AE-164,unsupported,"The excerpts discuss authentication and access restriction, not adding telemetry or logging."
shuffled_rag,iot-v2-024,3,Spoofing,NOTIFY_OPERATOR,Human review is warranted due to high-confidence spoofing signal and absence of a validated device identifier.,AE-165,unsupported,"The cited ETSI text is about data validation, not operator notification for spoofing."
shuffled_rag,iot-v2-002,3,Benign,NOTIFY_OPERATOR,Provide human oversight because the alert is mitigation intent only and cannot execute actions.,AE-166,unsupported,The cited excerpts do not support notifying an operator; they concern authentication and access control.
rag,iot-v2-006,1,BruteForce,CAPTURE_TRAFFIC,Collect packet-level evidence to confirm brute-force characteristics and identify the target service without assuming a device identity.,AE-167,unsupported,The excerpts do not mention traffic capture or evidence collection; they only discuss authentication and access controls.
rag,iot-v2-013,1,DoS,RATE_LIMIT,Reduce impact from sustained high-rate traffic while preserving some visibility into the flow.,AE-168,unsupported,"The evidence supports DoS countermeasures and access restriction, but not rate limiting sustained high-rate traffic."
shuffled_rag,iot-v2-020,1,Spoofing,INCREASE_LOGGING,Low-to-moderate confidence spoofing alert warrants richer telemetry before containment.,AE-169,unsupported,The excerpts do not address logging or telemetry; they focus on input validation and preventing manipulation.
shuffled_rag,iot-v2-013,2,DoS,CAPTURE_TRAFFIC,"Collect packet evidence to confirm whether the traffic is volumetric, spoofed, or part of a legitimate burst.",AE-170,unsupported,"The cited passages do not support capturing traffic to distinguish volumetric, spoofed, or legitimate bursts."
rag,iot-v2-031,1,Web,INCREASE_LOGGING,Improve visibility for an under-threshold alert without disrupting service.,AE-171,unsupported,"The evidence is about validating unexpected input at application/network interfaces, not about increasing logging."
rag,iot-v2-013,3,DoS,NOTIFY_OPERATOR,Operator awareness is warranted because the detector confidence is above threshold and the gateway cannot validate a device identity.,AE-172,unsupported,"The excerpts discuss DoS risk and detection/defense, but not notifying an operator due to confidence or identity validation concerns."
shuffled_rag,iot-v2-009,2,DDoS,INCREASE_LOGGING,Collect evidence to confirm whether the burst is malicious and assess spread.,AE-173,unsupported,"The excerpts support DoS resistance and detection, but not increasing logging to confirm spread or maliciousness."
rag,iot-v2-014,2,DoS,CAPTURE_TRAFFIC,"Collect packet evidence for offline validation of DoS characteristics and to distinguish scanning, flooding, or malformed-traffic patterns.",AE-174,unsupported,"The evidence covers DoS/resource exhaustion and cookie-based defenses, not packet capture for offline validation or distinguishing traffic patterns."
rag,iot-v2-009,2,DDoS,CAPTURE_TRAFFIC,Collect evidence to confirm the flood characteristics and support operator review.,AE-175,unsupported,"The excerpts support DDoS/flooding as a threat, but not capturing traffic to confirm it."
shuffled_rag,iot-v2-011,3,DDoS,NOTIFY_OPERATOR,Escalation is appropriate because the model is under threshold and mitigation should remain bounded until confirmed.,AE-176,unsupported,"The excerpts support detection and defense against DoS/resource exhaustion, but not notifying an operator because the model is under threshold."
shuffled_rag,iot-v2-005,2,BruteForce,INCREASE_LOGGING,Collect additional evidence because device identity is not validated and mitigation intent is offline-only.,AE-177,unsupported,"The RFC excerpts relate to DoS resistance and delayed state establishment, not increasing logging."
rag,iot-v2-031,3,Web,NOTIFY_OPERATOR,Human review is appropriate given the low confidence and lack of a validated device identifier.,AE-178,unsupported,"The excerpts support input validation against malformed or unexpected data, but they do not support notifying an operator."
shuffled_rag,iot-v2-019,2,Mirai,CAPTURE_TRAFFIC,Preserve packet evidence for offline review and family validation before any disruptive action.,AE-179,unsupported,"The excerpts support continuous monitoring for anomalies, but do not support the specific action of capturing traffic."
rag,iot-v2-002,2,Benign,INCREASE_LOGGING,Provides additional evidence if the traffic pattern changes while avoiding unnecessary disruption.,AE-180,unsupported,"The excerpts support continuous monitoring and event identification, but not the specific action of increasing logging."
